count,subject_id,subject
31,43,Computer Science - General Literature
115,87,Computer Science - Operating Systems
126,85,Quantitative Biology - Other Quantitative Biology
129,30,Statistics - Other Statistics
156,123,Quantitative Finance - Economics
192,14,Computer Science - Hardware Architecture
213,47,Quantitative Biology - Tissues and Organs
245,15,Computer Science - Emerging Technologies
255,77,Computer Science - Graphics
258,111,Quantitative Biology - Subcellular Processes
263,128,Computer Science - Sound
275,55,Computer Science - Performance
279,7,Computer Science - Multimedia
304,101,Quantitative Finance - Mathematical Finance
331,23,Quantitative Biology - Cell Behavior
343,40,Computer Science - Mathematical Software
347,115,Computer Science - Multiagent Systems
358,69,Computer Science - Other Computer Science
368,11,Quantitative Finance - Computational Finance
371,49,Quantitative Finance - Trading and Market Microstructure
382,32,Physics - Popular Physics
387,106,Quantitative Finance - Risk Management
391,71,Computer Science - Digital Libraries
397,126,Computer Science - Human-Computer Interaction
414,37,Nonlinear Sciences - Cellular Automata and Lattice Gases
415,19,Quantitative Finance - Portfolio Management
478,121,Quantitative Biology - Genomics
478,73,Physics - Medical Physics
507,68,Quantitative Finance - General Finance
509,46,Physics - Space Physics
587,129,Computer Science - Symbolic Computation
589,125,"Computer Science - Computational Engineering, Finance, and Science"
591,135,Physics - Atomic and Molecular Clusters
596,66,Computer Science - Numerical Analysis
604,142,Computer Science - Computers and Society
636,20,Quantitative Finance - Statistical Finance
665,122,Quantitative Finance - Pricing of Securities
701,44,Physics - Geophysics
747,137,Physics - Physics Education
788,56,Physics - Atmospheric and Oceanic Physics
843,4,Computer Science - Robotics
866,36,Quantitative Biology - Biomolecules
875,91,Physics - History and Philosophy of Physics
883,143,Computer Science - Information Retrieval
914,99,Quantitative Biology - Molecular Networks
973,60,Computer Science - Neural and Evolutionary Computing
1041,10,Mathematics - History and Overview
1062,64,Computer Science - Formal Languages and Automata Theory
1099,127,Quantitative Biology - Quantitative Methods
1192,74,Statistics - Computation
1211,80,Mathematics - General Mathematics
1258,83,Computer Science - Software Engineering
1266,112,Quantitative Biology - Neurons and Cognition
1312,29,Nonlinear Sciences - Adaptation and Self-Organizing Systems
1381,144,Computer Science - Databases
1474,93,Computer Science - Programming Languages
1483,124,Mathematics - K-Theory and Homology
1498,140,Mathematics - General Topology
1596,33,Computer Science - Computational Geometry
1673,81,Physics - Accelerator Physics
1679,84,Mathematics - Category Theory
1722,3,"Physics - Data Analysis, Statistics and Probability"
1843,92,Computer Science - Systems and Control
2012,42,Physics - Computational Physics
2014,53,Computer Science - Social and Information Networks
2020,86,Physics - Classical Physics
2130,18,Computer Science - Discrete Mathematics
2142,146,Computer Science - Computer Science and Game Theory
2200,62,Statistics - Applications
2240,52,Physics - Biological Physics
2329,26,Quantitative Biology - Populations and Evolution
2339,79,Computer Science - Computational Complexity
2394,102,Computer Science - Cryptography and Security
2499,6,Mathematics - Spectral Theory
2509,22,"Computer Science - Distributed, Parallel, and Cluster Computing"
2607,98,Nonlinear Sciences - Pattern Formation and Solitons
2698,41,Mathematics - Symplectic Geometry
2822,34,Physics - Chemical Physics
2925,109,Mathematics - Metric Geometry
2956,39,Computer Science - Computation and Language
3079,130,Statistics - Machine Learning
3213,132,Computer Science - Artificial Intelligence
3255,134,Nonlinear Sciences - Exactly Solvable and Integrable Systems
3413,48,Computer Science - Networking and Internet Architecture
3732,9,Physics - Plasma Physics
3875,107,Physics - General Physics
3983,113,Physics - Instrumentation and Detectors
4042,105,Computer Science - Learning
4071,31,Computer Science - Logic in Computer Science
4193,1,Statistics - Methodology
4210,45,Mathematics - Commutative Algebra
4248,133,Mathematics - Logic
4363,104,Mathematics - Algebraic Topology
4400,96,Physics - Physics and Society
4795,110,Computer Science - Computer Vision and Pattern Recognition
4815,5,Mathematics - Operator Algebras
4824,8,Physics - Fluid Dynamics
4827,76,Condensed Matter - Other Condensed Matter
4993,57,Computer Science - Data Structures and Algorithms
5294,94,Mathematics - Rings and Algebras
5297,97,Mathematics - Complex Variables
5533,89,Astrophysics - Instrumentation and Methods for Astrophysics
6031,65,Nonlinear Sciences - Chaotic Dynamics
6081,28,Physics - Atomic Physics
6282,50,Mathematics - Statistics Theory
6373,17,Astrophysics - Earth and Planetary Astrophysics
6397,63,Condensed Matter - Quantum Gases
6859,16,Nuclear Experiment
6949,27,Mathematics - Group Theory
7109,88,Mathematics - Numerical Analysis
7188,138,Condensed Matter - Disordered Systems and Neural Networks
7224,118,Physics - Optics
7236,114,Mathematics - Quantum Algebra
7249,131,Mathematics - Optimization and Control
7512,12,Mathematics - Classical Analysis and ODEs
