subject_id,count
43,30
87,107
85,117
30,119
123,147
14,176
47,202
15,231
111,239
77,245
128,246
55,261
7,266
101,288
23,308
40,323
115,324
69,337
11,344
49,348
32,358
71,361
106,370
126,374
19,380
37,395
121,446
73,454
68,475
46,479
129,550
135,554
125,563
66,567
142,579
20,595
122,616
44,647
137,710
56,751
4,798
36,799
91,804
143,832
99,856
60,909
10,986
64,1006
127,1011
74,1131
80,1134
112,1176
83,1188
29,1223
144,1297
124,1372
140,1386
93,1393
33,1487
84,1571
81,1599
3,1611
92,1729
42,1864
86,1888
53,1908
18,2006
146,2029
62,2076
52,2100
79,2164
26,2172
102,2259
22,2355
6,2366
98,2461
41,2516
34,2663
109,2736
39,2802
130,2894
132,2928
134,3012
48,3214
9,3499
107,3592
113,3751
105,3801
31,3802
45,3893
1,3942
133,4018
104,4076
96,4076
76,4425
5,4470
8,4514
110,4554
57,4699
94,4935
97,4950
89,5112
28,5665
65,5688
50,5824
17,5900
63,5923
16,6410
27,6488
88,6714
138,6720
118,6724
114,6744
131,6813
12,7075
2,7187
38,7828
100,8592
21,9355
58,10216
67,11957
35,12028
75,13142
95,13322
119,13416
108,13653
141,13678
72,14970
24,15412
90,16951
139,17039
103,17231
136,17415
70,17485
59,18811
116,19037
61,20233
82,20537
25,23562
13,23948
145,26608
78,33178
54,41509
51,67872
117,79146
120,83562

